Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor,valor,valor [M],Valor_m2_Barrio,Valor_m2_Millon,valor_m2,valor [m]
Casa,Casa en venta en Cedritos,2,3,282,Cedritos,Usaquén,$ 900.000.000,,900.0,5027419.586695462,3191489.361702128,,
Casa,Casa en venta en Usaquén,3,3,144,Usaquén,Usaquén,$ 650.000.000,,650.0,5655581.34903221,4513888.888888889,,
Apartamento,Apartamento en venta en Usaquén,3,4,181,Usaquén,Usaquén,$ 870.000.000,,870.0,5655581.34903221,4806629.834254144,,
Apartamento,Apartamento en venta en Santa Barbara,1,1,48,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 270.000.000,,270.0,5852628.361947599,5625000.0,,
Apartamento,Apartamento en venta en Nueva Zelandia,2,1,40,Nueva Zelandia,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 213.000.000,,213.0,4173159.1320072333,5325000.0,,
Casa,Casa en venta en Zona Noroccidental,3,6,400,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.900.000.000,,1900.0,4572008.510026536,4750000.0,,
Casa,Casa en venta en Zona Noroccidental,4,7,550,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.000.000.000,,2000.0,4572008.510026536,3636363.6363636362,,
Apartamento,Apartamento en venta en Bosa,3,1,49,Bosa,Bosa Central,$ 163.000.000,,163.0,2677845.135869721,3326530.612244898,,
Apartamento,Apartamento en venta en Los Rosales,2,2,92,Los Rosales,CHAPINERO: Chicó Lago + El Refugio,$ 620.000.000,,620.0,8208857.198335645,6739130.434782608,,
Casa,Casa en venta en La Candelaria,7,3,445,La Candelaria,La Candelaria,$ 600.000.000,,600.0,8889242.669544883,1348314.606741573,,
Apartamento,Apartamento en venta en Chapinero,3,4,215,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 2.100.000.000,,2100.0,4580185.76602501,9767441.860465117,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,123,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 450.000.000,,450.0,4572008.510026536,3658536.5853658537,,
Apartamento,Apartamento en venta en San Patricio,4,4,160,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 820.000.000,,820.0,6831854.578231803,5125000.0,,
Apartamento,Apartamento en venta en Bogotá D.C,3,3,123,Bogotá D.C,Ciudad Salitre Occidental,$ 750.000.000,,750.0,5212760.277629471,6097560.975609756,,
Apartamento,Apartamento en venta en Los Rosales,2,2,81,Los Rosales,CHAPINERO: Chicó Lago + El Refugio,$ 529.000.000,,529.0,8208857.198335645,6530864.197530864,,
Apartamento,Apartamento en venta en Usaquén,2,3,105,Usaquén,Usaquén,$ 889.000.000,,889.0,5655581.34903221,8466666.666666666,,
Apartamento,Apartamento en venta en Usaquén,2,2,70,Usaquén,Usaquén,$ 319.000.000,,319.0,5655581.34903221,4557142.857142857,,
Apartamento,Apartamento en venta en Bosa,2,1,44,Bosa,Bosa Central,$ 120.000.000,,120.0,2677845.135869721,2727272.727272727,,
Casa,Casa en venta en Kennedy,4,2,86,Kennedy,Kennedy Central,$ 365.000.000,,365.0,3382897.908271655,4244186.046511628,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 360.000.000,,360.0,4572008.510026536,5142857.142857143,,
Apartamento,Apartamento en venta en Portales Del Norte,2,2,63,Portales Del Norte,Britalia,$ 323.000.000,,323.0,4550161.46393972,5126984.126984127,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Usaquén,4,4,268,Usaquén,Usaquén,$ 2.200.000.000,,2200.0,5655581.34903221,8208955.223880597,,
Apartamento,Apartamento en venta en Normandia,3,2,77,Normandia,ENGATIVÁ: Santa Cecilia + Jardín  Botánico,$ 340.000.000,,340.0,4204753.199268739,4415584.415584415,,
Apartamento,Apartamento en venta en Bella Suiza,3,3,127,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 720.000.000,,720.0,6290550.7012394,5669291.338582677,,
Apartamento,Apartamento en venta en Bella Suiza,3,3,113,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 665.000.000,,665.0,6290550.7012394,5884955.752212389,,
Apartamento,Apartamento en venta en Chico Reservado,3,2,155,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.350.000.000,,1350.0,8104486.540013073,8709677.41935484,,
Apartamento,Apartamento en venta en Ciudad Salitre,3,4,138,Ciudad Salitre,Ciudad Salitre Oriental,$ 1.050.000.000,,1050.0,7412638.847193035,7608695.652173913,,
Apartamento,Apartamento en venta en Santa Teresa,1,1,51,Santa Teresa,San Cristóbal Norte,$ 270.000.000,,270.0,5089707.271010387,5294117.647058823,,
Casa,Casa en venta en Puente Aranda,6,6,260,Puente Aranda,PUENTE ARANDA: Zona Industrial + Puente Aranda,$ 850.000.000,,850.0,3247774.5941037624,3269230.769230769,,
Apartamento,Apartamento en venta en Usaquén,3,3,151,Usaquén,Usaquén,$ 880.000.000,,880.0,5655581.34903221,5827814.569536424,,
Apartamento,Apartamento en venta en Kennedy,2,1,33,Kennedy,Kennedy Central,$ 150.000.000,,150.0,3382897.908271655,4545454.545454546,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,126,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 528.000.000,,528.0,4572008.510026536,4190476.1904761903,,
Apartamento,Apartamento en venta en Portales Del Norte,3,2,70,Portales Del Norte,Britalia,$ 330.000.000,,330.0,4550161.46393972,4714285.714285715,,
Apartamento,Apartamento en venta en San Patricio,2,2,86,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 525.000.000,,525.0,6831854.578231803,6104651.162790698,,
Apartamento,Apartamento en venta en San Patricio,4,4,157,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 890.000.000,,890.0,6831854.578231803,5668789.808917197,,
Apartamento,Apartamento en venta en El Plan,3,2,86,El Plan,El Rincón,$ 550.000.000,,550.0,5317269.77248104,6395348.837209302,,
Casa,Casa en venta en Zona Noroccidental,3,4,333,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.000.000.000,,1000.0,4572008.510026536,3003003.003003003,,
Apartamento,Apartamento en venta en San Patricio,2,2,86,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000,,500.0,6831854.578231803,5813953.488372093,,
Apartamento,Apartamento en venta en Los Rosales,4,5,375,Los Rosales,CHAPINERO: Chicó Lago + El Refugio,$ 2.500.000.000,,2500.0,8208857.198335645,6666666.666666667,,
Casa,Casa en venta en Zona Noroccidental,5,4,270,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.200.000.000,,1200.0,4572008.510026536,4444444.444444444,,
Apartamento,Apartamento en venta en El Plan,3,2,86,El Plan,El Rincón,$ 550.000.000,,550.0,5317269.77248104,6395348.837209302,,
Apartamento,Apartamento en venta en San Patricio,3,3,128,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 850.000.000,,850.0,6831854.578231803,6640625.0,,
Casa,Casa en venta en Zona Noroccidental,3,3,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 400.000.000,,400.0,4572008.510026536,5128205.128205128,,
Apartamento,Apartamento en venta en Bella Suiza,3,3,120,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 735.000.000,,735.0,6290550.7012394,6125000.0,,
Apartamento,Apartamento en venta en Chapinero,3,5,15920,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 1.250.000.000,,1250.0,4580185.76602501,78517.5879396985,,
Apartamento,Apartamento en venta en El Plan,2,2,75,El Plan,El Rincón,$ 295.000.000,,295.0,5317269.77248104,3933333.3333333335,,
Apartamento,Apartamento en venta en Bella Suiza,2,2,72,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 450.000.000,,450.0,6290550.7012394,6250000.0,,
Apartamento,Apartamento en venta en Cantagallo,3,2,88,Cantagallo,Britalia,$ 514.000.000,,514.0,5719205.81655481,5840909.090909091,,
Casa,Casa en venta en Usaquén,2,2,118,Usaquén,Usaquén,$ 590.000.000,,590.0,5655581.34903221,5000000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,64,Mazuren,El Prado,$ 435.000.000,,435.0,3851389.043846926,6796875.0,,
Casa,Casa en venta en Usaquén,5,4,154,Usaquén,Usaquén,$ 630.000.000,,630.0,5655581.34903221,4090909.090909091,,
Apartamento,Apartamento en venta en San Patricio,2,2,74,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 420.000.000,,420.0,6831854.578231803,5675675.675675675,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Bella Suiza,2,2,83,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 450.000.000,,450.0,6290550.7012394,5421686.746987952,,
Apartamento,Apartamento en venta en Kennedy,2,1,47,Kennedy,Kennedy Central,$ 140.000.000,,140.0,3382897.908271655,2978723.404255319,,
Apartamento,Apartamento en venta en San Patricio,2,2,63,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 347.000.000,,347.0,6831854.578231803,5507936.507936508,,
Casa,Casa en venta en Engativa,4,2,78,Engativa,Engativá,$ 250.000.000,,250.0,2887769.666800428,3205128.205128205,,
Apartamento,Apartamento en venta en Engativa,2,1,47,Engativa,Engativá,$ 165.000.000,,165.0,2887769.666800428,3510638.2978723403,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Puente Aranda,3,1,47,Puente Aranda,PUENTE ARANDA: Zona Industrial + Puente Aranda,$ 130.000.000,,130.0,3247774.5941037624,2765957.4468085105,,
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000,,345.0,4572008.510026536,5476190.476190476,,
Casa,Casa en venta en Zona Noroccidental,3,4,203,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.500.000.000,,1500.0,4572008.510026536,7389162.561576354,,
Apartamento,Apartamento en venta en Kennedy,3,2,72,Kennedy,Kennedy Central,$ 296.000.000,,296.0,3382897.908271655,4111111.111111111,,
Apartamento,Apartamento en venta en Engativa,2,2,58,Engativa,Engativá,$ 310.000.000,,310.0,2887769.666800428,5344827.586206896,,
Casa,Casa en venta en Zona Noroccidental,4,3,280,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.195.000.000,,1195.0,4572008.510026536,4267857.142857143,,
Casa,Casa en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 228.000.000,,228.0,4572008.510026536,3352941.1764705884,,
Apartamento,Apartamento en venta en Cantagallo,3,3,105,Cantagallo,Britalia,$ 585.000.000,,585.0,5719205.81655481,5571428.571428572,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Tintala,2,1,45,Tintala,Tintala,$ 180.000.000,,180.0,3799199.244295887,4000000.0,,
Apartamento,Apartamento en venta en San Patricio,1,2,54,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 470.000.000,,470.0,6831854.578231803,8703703.703703703,,
Apartamento,Apartamento en venta en Bella Suiza,2,3,67,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 520.000.000,,520.0,6290550.7012394,7761194.0298507465,,
Apartamento,Apartamento en venta en San Patricio,3,2,94,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 456.000.000,,456.0,6831854.578231803,4851063.829787234,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en San Patricio,2,3,71,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 530.000.000,,530.0,6831854.578231803,7464788.7323943665,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Mazuren,3,2,120,Mazuren,El Prado,$ 390.000.000,,390.0,3851389.043846926,3250000.0,,
Apartamento,Apartamento en venta en Engativa,3,2,60,Engativa,Engativá,$ 250.000.000,,250.0,2887769.666800428,4166666.6666666665,,
Apartamento,Apartamento en venta en Usaquén,2,2,110,Usaquén,Usaquén,$ 1.200.000.000,,1200.0,5655581.34903221,10909090.909090908,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,,278.0,4572008.510026536,3756756.756756757,,
